"","clean_hostnames","origin","host_family","host_genus","host_species","virus_genus","virus_subgenus"
"54","Ptenochirus_jagori","Anthony","Pteropodidae","Ptenochirus","Ptenochirus_jagori","Betacoronavirus",""
"55","Pteronotus_davyi","Anthony","Mormoopidae","Pteronotus","Pteronotus_davyi","Betacoronavirus",""
"56","Pteronotus_parnellii","Anthony","Mormoopidae","Pteronotus","Pteronotus_parnellii","Betacoronavirus",""
"57","Pteropus_alecto","Anthony","Pteropodidae","Pteropus","Pteropus_alecto","Betacoronavirus",""
"58","Pteropus_alecto","Anthony","Pteropodidae","Pteropus","Pteropus_alecto","Betacoronavirus","Embecovirus"
"59","Pteropus_giganteus","Anthony","Pteropodidae","Pteropus","Pteropus_giganteus","Betacoronavirus",""
"60","Pteropus_rufus","Anthony","Pteropodidae","Pteropus","Pteropus_rufus","Betacoronavirus",""
"61","Rhinolophus_affinis","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_affinis","Betacoronavirus","Sarbecovirus"
"62","Rhinolophus_affinis","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_affinis","Betacoronavirus",""
"63","Rhinolophus_blasii","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_blasii","Betacoronavirus",""
"64","Rhinolophus_blasii","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_blasii","Betacoronavirus",""
"65","Rhinolophus_clivosus","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_clivosus","Betacoronavirus",""
"66","Rhinolophus_cornutus","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_cornutus","Betacoronavirus","Sarbecovirus"
"67","Rhinolophus_creaghi","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_creaghi","Betacoronavirus",""
"68","Rhinolophus_euryale","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_euryale","Betacoronavirus",""
"69","Rhinolophus_euryale","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_euryale","Betacoronavirus",""
"70","Rhinolophus_ferrumequinum","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_ferrumequinum","Betacoronavirus",""
"71","Rhinolophus_ferrumequinum","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_ferrumequinum","Betacoronavirus","Sarbecovirus"
"72","Rhinolophus_ferrumequinum","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_ferrumequinum","Betacoronavirus",""
"73","Rhinolophus_hipposideros","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_hipposideros","Betacoronavirus",""
"74","Rhinolophus_macrotis","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_macrotis","Betacoronavirus",""
"75","Rhinolophus_macrotis","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_macrotis","Betacoronavirus","Sarbecovirus"
"76","Rhinolophus_mehelyi","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_mehelyi","Betacoronavirus",""
"77","Rhinolophus_monoceros","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_monoceros","Betacoronavirus","Sarbecovirus"
"78","Rhinolophus_pearsonii","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_pearsonii","Betacoronavirus","Sarbecovirus"
"79","Rhinolophus_pearsonii","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_pearsonii","Betacoronavirus",""
"80","Rhinolophus_pusillus","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_pusillus","Betacoronavirus",""
"81","Rhinolophus_pusillus","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_pusillus","Betacoronavirus",""
"82","Rhinolophus_rex","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_rex","Betacoronavirus","Sarbecovirus"
"83","Rhinolophus_sinicus","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_sinicus","Betacoronavirus",""
"84","Rhinolophus_sinicus","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_sinicus","Betacoronavirus",""
"85","Rhinolophus_sinicus","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_sinicus","Betacoronavirus","Sarbecovirus"
"86","Rhinolophus_thomasi","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_thomasi","Betacoronavirus","Sarbecovirus"
"87","Rhinonicteris_aurantia","Anthony","Hipposideridae","Rhinonicteris","Rhinonicteris_aurantia","Betacoronavirus",""
"88","Rhinopoma_hardwickii","Anthony","Rhinopomatidae","Rhinopoma","Rhinopoma_hardwickii","Betacoronavirus",""
"89","Rousettus_aegyptiacus","Anthony","Pteropodidae","Rousettus","Rousettus_aegyptiacus","Betacoronavirus","Nobecovirus"
"90","Rousettus_aegyptiacus","Anthony","Pteropodidae","Rousettus","Rousettus_aegyptiacus","Betacoronavirus",""
"91","Rousettus_amplexicaudatus","Anthony","Pteropodidae","Rousettus","Rousettus_amplexicaudatus","Betacoronavirus","Nobecovirus"
"92","Rousettus_leschenaultii","HP3","Pteropodidae","Rousettus","Rousettus_leschenaultii","Betacoronavirus",""
"93","Rousettus_leschenaultii","Anthony","Pteropodidae","Rousettus","Rousettus_leschenaultii","Betacoronavirus","Nobecovirus"
"94","Rousettus_leschenaultii","Anthony","Pteropodidae","Rousettus","Rousettus_leschenaultii","Betacoronavirus",""
"95","Scotophilus_dinganii","Anthony","Vespertilionidae","Scotophilus","Scotophilus_dinganii","Betacoronavirus",""
"96","Scotophilus_leucogaster","Anthony","Vespertilionidae","Scotophilus","Scotophilus_leucogaster","Betacoronavirus",""
"97","Taphozous_perforatus","Anthony","Emballonuridae","Taphozous","Taphozous_perforatus","Betacoronavirus",""
"98","Triaenops_persicus","Anthony","Hipposideridae","Triaenops","Triaenops_persicus","Betacoronavirus",""
"99","Tylonycteris_pachypus","Anthony","Vespertilionidae","Tylonycteris","Tylonycteris_pachypus","Betacoronavirus",""
"100","Tylonycteris_pachypus","Anthony","Vespertilionidae","Tylonycteris","Tylonycteris_pachypus","Betacoronavirus","Merbecovirus"
"101","Vespertilio_sinensis","Anthony","Vespertilionidae","Vespertilio","Vespertilio_sinensis","Betacoronavirus",""
"102","Vespertilio_sinensis","Anthony","Vespertilionidae","Vespertilio","Vespertilio_sinensis","Betacoronavirus","Merbecovirus"
