origin,host_family,host_genus,host_species,virus_genus,virus_subgenus
Anthony,Vespertilionidae,Myotis,Myotis velifer,Alphacoronavirus,NA
Anthony,Molossidae,Tadarida,Tadarida brasiliensis,Alphacoronavirus,NA
Anthony,Phyllostomidae,Carollia,Carollia brevicauda,Alphacoronavirus,NA
Anthony,Phyllostomidae,Artibeus,Artibeus jamaicensis,Alphacoronavirus,NA
Anthony,Phyllostomidae,Carollia,Carollia perspicillata,Alphacoronavirus,NA
Anthony,Phyllostomidae,Lonchorhina,Lonchorhina aurita,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis riparius,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis nigricans,Alphacoronavirus,NA
Anthony,Molossidae,Molossus,Molossus rufus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis nattereri,Alphacoronavirus,NA
Anthony,Megadermatidae,Cardioderma,Cardioderma cor,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis horsfieldii,Alphacoronavirus,NA
Anthony,Pteropodidae,Epomophorus,Epomophorus gambianus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus inexspectatus,Alphacoronavirus,NA
Anthony,Pteropodidae,Micropteropus,Micropteropus pusillus,Alphacoronavirus,NA
Anthony,Pteropodidae,Megaloglossus,Megaloglossus woermanni,Alphacoronavirus,NA
Anthony,Pteropodidae,Eidolon,Eidolon helvum,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis emarginatus,Alphacoronavirus,NA
Anthony,Molossidae,Cynomops,Cynomops abrasus,Alphacoronavirus,NA
Anthony,Molossidae,Cynomops,Cynomops planirostris,Alphacoronavirus,NA
Anthony,Phyllostomidae,Desmodus,Desmodus rotundus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Perimyotis,Pipistrellus subflavus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Chalinolobus,Chalinolobus gouldii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Falsistrellus,Falsistrellus mackenziei,Alphacoronavirus,NA
Anthony,Vespertilionidae,Vespadelus,Vespadelus regulus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Vespadelus,Vespadelus baverstocki,Alphacoronavirus,NA
Anthony,Vespertilionidae,Chalinolobus,Chalinolobus morio,Alphacoronavirus,NA
Anthony,Vespertilionidae,Neoromicia,Neoromicia capensis,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis brandtii,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus capensis,Alphacoronavirus,NA
Anthony,Vespertilionidae,Neoromicia,Neoromicia nanus,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus clivosus,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus simulator,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis punicus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Eptesicus,Eptesicus serotinus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis capaccinii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus abramus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis volans,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus stheno,Alphacoronavirus,NA
Anthony,Pteropodidae,Rousettus,Rousettus leschenaultii,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros pomona,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis blythii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Hypsugo,Hypsugo savii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Nyctalus,Nyctalus lasiopterus,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros larvatus,Alphacoronavirus,Decacovirus
Anthony,Hipposideridae,Hipposideros,Hipposideros pomona,Alphacoronavirus,Decacovirus
Anthony,Pteropodidae,Rousettus,Rousettus aegyptiacus,Alphacoronavirus,Duvinacovirus
Anthony,Miniopteridae,Miniopterus,Miniopterus pusillus,Alphacoronavirus,Minunacovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus affinis,Alphacoronavirus,Rhinacovirus
HP3,Hipposideridae,Hipposideros,Hipposideros caffer,Alphavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus aegyptiacus,Alphavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Alphavirus,NA
HP3,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphavirus,NA
HP3,Molossidae,Chaerephon,Chaerephon pumilus,Alphavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus jamaicensis,Alphavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus lituratus,Alphavirus,NA
HP3,Phyllostomidae,Carollia,Carollia perspicillata,Alphavirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus fuscus,Alphavirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga soricina,Alphavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus cinereus,Alphavirus,NA
HP3,Vespertilionidae,Myotis,Myotis keenii,Alphavirus,NA
HP3,Vespertilionidae,Myotis,Myotis lucifugus,Alphavirus,NA
HP3,Vespertilionidae,Myotis,Myotis septentrionalis,Alphavirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Alphavirus,NA
HP3,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Alphavirus,NA
HP3,Emballonuridae,Rhynchonycteris,Rhynchonycteris naso,Alphavirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira lilium,Alphavirus,NA
HP3,Molossidae,Tadarida,Tadarida brasiliensis,Alphavirus,NA
HP3,Molossidae,Molossus,Molossus rufus,Alphavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus alecto,Alphavirus,NA
